date,count,uniques
2026-06-10,248,101
2026-06-11,244,82
2026-06-12,449,151
2026-06-13,449,151
2026-06-14,538,167
2026-06-15,557,170
2026-06-16,578,174
2026-06-17,586,176
2026-06-18,524,156
2026-06-19,561,165
2026-06-20,574,171
2026-06-21,655,192
2026-06-22,690,205
2026-06-23,694,208
2026-06-24,598,192
2026-06-25,483,155
2026-06-26,429,137
2026-06-27,384,129
2026-06-28,376,131
2026-06-29,378,136
2026-06-30,379,134
2026-07-01,369,132
2026-07-02,356,130
2026-07-03,319,119
2026-07-04,308,114
2026-07-05,238,95
2026-07-06,217,86
2026-07-07,224,86
2026-07-08,242,89
2026-07-09,242,85
2026-07-10,227,80
2026-07-11,222,81
